"place,title,time,pay,date"
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",15분전
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",15분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",54분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",54분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",54분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",54분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",55분전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",55분전
경기 안성시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",55분전
경기 안성시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",55분전
경기 구리시, 홍대개미 구리점,10:30~20:30,"월급1,850,000",1시간전
경기 구리시, 홍대개미 구리점,10:30~20:30,"월급1,850,000",1시간전
경기 안성시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",1시간전
경기 안성시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",1시간전
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",1시간전
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",1시간전
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",2시간전
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",2시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",2시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",2시간전
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",3시간전
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",3시간전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,850,000",4시간전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,850,000",4시간전
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",4시간전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,850,000",5시간전
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,850,000",5시간전
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",6시간전
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",6시간전
경기 안산시, 홍대개미,12:00~16:00,"시급8,720",7시간전
경기 안산시, 홍대개미,12:00~16:00,"시급8,720",7시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"시급8,720",7시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"시급8,720",7시간전
서울 강남구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급2,150,000",8시간전
서울 강남구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급2,150,000",8시간전
경기 구리시, 홍대개미 구리점,10:30~20:30,"월급1,850,000",10시간전
경기 구리시, 홍대개미 구리점,10:30~20:30,"월급1,850,000",10시간전
경기 용인시, 홍대개미 신세계백화점 경기점,12:30~20:30,"시급8,720",11시간전
경기 용인시, 홍대개미 신세계백화점 경기점,12:30~20:30,"시급8,720",11시간전
경기 안산시, 홍대개미,13:00~20:30,"시급8,720",11시간전
경기 안산시, 홍대개미,13:00~20:30,"시급8,720",11시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",13시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",13시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",14시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",14시간전
